"New York By Gehry (8 Spruce Street; Beekman Tower), New York City",http://t0.gstatic.com/images?q=tbn:ANd9GcS2kACNDDM3LJy48ZKAZeJE2PGqs-8E6AvdBHPRaLfqI5VN1D2GQ0OkKbJn
"1100 Louisiana Building, Houston",http://t3.gstatic.com/images?q=tbn:ANd9GcTqd5kJtkw1xB2vXOLtPCZdeHAYS3OzEPdQzv7ikL6neEsnDDgl
"World Trade Center Twin Towers, New York      Destroyed by terrorists 9/11/01",http://t0.gstatic.com/images?q=tbn:ANd9GcT7W4TpsOtsC4y2DgQxGThma2YYzaVaeBadJUoXgtqo0vaPrpig
"Worldwide Plaza, New York",http://t2.gstatic.com/images?q=tbn:ANd9GcQkb3ldMPFmm79nvgipJOFjyJ-eXaDYVYN9ILB1gDylrqoxIUIm
"Carnegie Hall Tower, New York",http://t0.gstatic.com/images?q=tbn:ANd9GcTX_qxsvPhp8xJRUISJpQxZWouPKEAxrydKm3zAgepIu9I-_54uGw
"Aqua Tower, Chicago, Illinois",http://t3.gstatic.com/images?q=tbn:ANd9GcTxtN6Y5B5-vt1Xl5gYfIw_OomwY9ksM36GxXpBkft8iHqfrt93Bg
"Equitable Tower, New York",http://t2.gstatic.com/images?q=tbn:ANd9GcTHNIgc2wRiPCG5dHD-hCJC6A8wMB8KoeUaakXSA6z5ITMicEpC
"John Hancock Tower, Boston",http://t2.gstatic.com/images?q=tbn:ANd9GcSugpnLaeDIE_1OOkazWr_vGwYliDnk0lfQkl0UVkhbQMo2p1nTdlkX_oJS
"One Penn Plaza, New York",http://t0.gstatic.com/images?q=tbn:ANd9GcSYq7yJSPUJ-nvjYzk0PZ8bqHcWbq2C-hsJ1KQdGe1Tu02voya7
"900 North Michigan Ave., Chicago",http://t0.gstatic.com/images?q=tbn:ANd9GcS5qF7Nfo8aGWLvK4nRy0fNcDgyyE0UOVI60tHKVkfgpLQml8W_
"Bank One Tower, Indianapolis",http://t2.gstatic.com/images?q=tbn:ANd9GcRzxTftQ1bNRxRqrIDiQGXpa45xbHLJoSLciigL_ZMbyA1w4u6wFQ
